Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hines, J.C., Touron, D.R., Hertzog, C.","Metacognitive Influences on Study Time Allocation in an Associative Recognition Task: An Analysis of Adult Age Differences",2009,"Psychology and Aging","24","2",,"462","475",,34,10.1037/a0014417,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-66549116436&doi=10.1037%2fa0014417&partnerID=40&md5=d4f95a40368aa9d9ebd4056fcce49b72",Article,Scopus,2-s2.0-66549116436
"Koriat, A., Ackerman, R., Lockl, K., Schneider, W.","The memorizing effort heuristic in judgments of learning: A developmental perspective",2009,"Journal of Experimental Child Psychology","102","3",,"265","279",,34,10.1016/j.jecp.2008.10.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60249097247&doi=10.1016%2fj.jecp.2008.10.005&partnerID=40&md5=a54f8bc2d139301392ddec66717318bb",Article,Scopus,2-s2.0-60249097247
"Metcalfe, J., Finn, B.","Familiarity and Retrieval Processes in Delayed Judgments of Learning",2008,"Journal of Experimental Psychology: Learning Memory and Cognition","34","5",,"1084","1097",,33,10.1037/a0012580,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55049085416&doi=10.1037%2fa0012580&partnerID=40&md5=f2cfb2850948367b3606a3a7e4747415",Article,Scopus,2-s2.0-55049085416
"Moulin, C.J.A., Perfect, T.J., Jones, R.W.","The effects of repetition on allocation of study time and judgements of learning in Alzheimer's disease",2000,"Neuropsychologia","38","6",,"748","756",,33,10.1016/S0028-3932(99)00142-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033968690&doi=10.1016%2fS0028-3932%2899%2900142-6&partnerID=40&md5=712ae46fe338ea55e6ba348eb1b727ef",Article,Scopus,2-s2.0-0033968690
"Mueller, M.L., Tauber, S.K., Dunlosky, J.","Contributions of beliefs and processing fluency to the effect of relatedness on judgments of learning",2013,"Psychonomic Bulletin and Review","20","2",,"378","384",,32,10.3758/s13423-012-0343-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874729382&doi=10.3758%2fs13423-012-0343-6&partnerID=40&md5=3cd528826d9a8ad615c1130a15a7c4b3",Article,Scopus,2-s2.0-84874729382
"Kennedy, M.R.T., Yorkston, K.M.","Accuracy of Metamemory after Traumatic Brain Injury: Predictions during Verbal Learning",2000,"Journal of Speech, Language, and Hearing Research","43","1-5",,"1072","1086",,32,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034304306&partnerID=40&md5=d8e80384ffa6aff3812773fdab0965c8",Article,Scopus,2-s2.0-0034304306
"Sungkhasettee, V.W., Friedman, M.C., Castel, A.D.","Memory and metamemory for inverted words: Illusions of competency and desirable difficulties",2011,"Psychonomic Bulletin and Review","18","5",,"973","978",,31,10.3758/s13423-011-0114-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053094418&doi=10.3758%2fs13423-011-0114-9&partnerID=40&md5=8a97201c5793e2d57305c3567079bac6",Article,Scopus,2-s2.0-80053094418
"Koriat, A., Ma'ayan, H., Sheffer, L., Bjork, R.A.","Exploring a mnemonic debiasing account of the underconfidence-with-practice effect",2006,"Journal of Experimental Psychology: Learning Memory and Cognition","32","3",,"595","608",,31,10.1037/0278-7393.32.3.595,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745111221&doi=10.1037%2f0278-7393.32.3.595&partnerID=40&md5=e9bdac0a1b5dcf2acbcbb5c82b0bdfa9",Article,Scopus,2-s2.0-33745111221
"Weaver, C.A., Kelemen, W.L.","Judgments of learning at delays: Shifts in Response Patterns or Increased Metamemory Accuracy?",1997,"Psychological Science","8","4",,"318","321",,31,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041021385&partnerID=40&md5=64a876b0f86c5a1f6d6cc1f529c566ca",Article,Scopus,2-s2.0-0041021385
"Koriat, A., Ackerman, R.","Metacognition and mindreading: Judgments of learning for Self and Other during self-paced study",2010,"Consciousness and Cognition","19","1",,"251","264",,30,10.1016/j.concog.2009.12.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649234179&doi=10.1016%2fj.concog.2009.12.010&partnerID=40&md5=c84b4eb0535646e53a7332331d8e1e35",Article,Scopus,2-s2.0-77649234179
"Kelemen, W.L.","Metamemory cues and monitoring accuracy: Judging what you know and what you will know",2000,"Journal of Educational Psychology","92","4",,"800","810",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034347501&partnerID=40&md5=bf0faebc8b5b87c1fd53481d0aaff754",Article,Scopus,2-s2.0-0034347501
"Miele, D.B., Finn, B., Molden, D.C.","Does easily learned mean easily remembered? it depends on your beliefs about intelligence",2011,"Psychological Science","22","3",,"320","324",,29,10.1177/0956797610397954,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954527601&doi=10.1177%2f0956797610397954&partnerID=40&md5=6fa0fd0646771264f4ad7c5d94fe9c7e",Article,Scopus,2-s2.0-79954527601
"Meeter, M., Nelson, T.O.","Multiple study trials and judgments of learning",2003,"Acta Psychologica","113","2",,"123","132",,29,10.1016/S0001-6918(03)00023-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038712914&doi=10.1016%2fS0001-6918%2803%2900023-4&partnerID=40&md5=54cfc4e83418b25a4db8f18b2010e11e",Article,Scopus,2-s2.0-0038712914
"Soderstrom, N.C., McCabe, D.P.","The Interplay Between Value and Relatedness as Bases for Metacognitive Monitoring and Control: Evidence for Agenda-Based Monitoring",2011,"Journal of Experimental Psychology: Learning Memory and Cognition","37","5",,"1236","1242",,28,10.1037/a0023548,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052851486&doi=10.1037%2fa0023548&partnerID=40&md5=0e0ca1f6d61820d975490dcfc67954fb",Article,Scopus,2-s2.0-80052851486
"Zimmerman, C.A., Kelley, C.M.","""I'll remember this!"" Effects of emotionality on memory predictions versus memory performance",2010,"Journal of Memory and Language","62","3",,"240","253",,28,10.1016/j.jml.2009.11.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949262951&doi=10.1016%2fj.jml.2009.11.004&partnerID=40&md5=c9983943f9b35c24767256572d1b2c26",Article,Scopus,2-s2.0-77949262951
"Son, L.K.","Metacognitive control: Children's short-term versus long-term study strategies",2005,"Journal of General Psychology","132","4",,"347","363",,28,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644548900&partnerID=40&md5=6444b7702cf5dbce0db177a2f9d0d65a",Review,Scopus,2-s2.0-27644548900
"Sahakyan, L., Delaney, P.F., Kelley, C.M.","Self-evaluation as a moderating factor of strategy change in directed forgetting benefits",2004,"Psychonomic Bulletin and Review","11","1",,"131","136",,28,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442572007&partnerID=40&md5=a56488609c59dd830d1dca76e316b2bb",Article,Scopus,2-s2.0-2442572007
"Daniels, K.A., Toth, J.P., Hertzog, C.","Aging and Recollection in the Accuracy of Judgments of Learning",2009,"Psychology and Aging","24","2",,"494","500",,25,10.1037/a0015269,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-66549124919&doi=10.1037%2fa0015269&partnerID=40&md5=9e3e8cb35c00c285e7a11aa3ddac45a0",Article,Scopus,2-s2.0-66549124919
"Scheck, P., Meeter, M., Nelson, T.O.","Anchoring effects in the absolute accuracy of immediate versus delayed judgments of learning",2004,"Journal of Memory and Language","51","1",,"71","79",,25,10.1016/j.jml.2004.03.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142735761&doi=10.1016%2fj.jml.2004.03.004&partnerID=40&md5=af1ed339f291dccbbdcc4b7de59a27ee",Article,Scopus,2-s2.0-3142735761
"Besken, M., Mulligan, N.W.","Easily perceived, easily remembered? Perceptual interference produces a double dissociation between metamemory and memory performance",2013,"Memory and Cognition","41","6",,"897","903",,24,10.3758/s13421-013-0307-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880742922&doi=10.3758%2fs13421-013-0307-8&partnerID=40&md5=fe54b020ce702b98f2beb3d83d32e22d",Article,Scopus,2-s2.0-84880742922
"Van Loon, M.H., de Bruin, A.B.H., van Gog, T., van Merriënboer, J.J.G.","Activation of inaccurate prior knowledge affects primary-school students' metacognitive judgments and calibration",2013,"Learning and Instruction","24","1",,"15","25",,24,10.1016/j.learninstruc.2012.08.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871026056&doi=10.1016%2fj.learninstruc.2012.08.005&partnerID=40&md5=d2b86d846bba243d364c18f0a6867b60",Article,Scopus,2-s2.0-84871026056
"Son, L.K.","Metacognitive Control and the Spacing Effect",2010,"Journal of Experimental Psychology: Learning Memory and Cognition","36","1",,"255","262",,24,10.1037/a0017892,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-74049090452&doi=10.1037%2fa0017892&partnerID=40&md5=c6669740f91c8a7dccdd9e279c3fe46c",Article,Scopus,2-s2.0-74049090452
"Hertzog, C., Sinclair, S.M., Dunlosky, J.","Age Differences in the Monitoring of Learning: Cross-Sectional Evidence of Spared Resolution Across the Adult Life Span",2010,"Developmental Psychology","46","4",,"939","948",,23,10.1037/a0019812,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954654473&doi=10.1037%2fa0019812&partnerID=40&md5=6a730f3e22ba3b48642248561cf47abe",Article,Scopus,2-s2.0-77954654473
"Koriat, A., Ackerman, R., Lockl, K., Schneider, W.","The easily learned, easily remembered heuristic in children",2009,"Cognitive Development","24","2",,"169","182",,23,10.1016/j.cogdev.2009.01.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349137559&doi=10.1016%2fj.cogdev.2009.01.001&partnerID=40&md5=902c39fdc9d630cc3e61f550b8c43786",Article,Scopus,2-s2.0-65349137559
"Undorf, M., Erdfelder, E.","Judgments of Learning Reflect Encoding Fluency: Conclusive Evidence for the Ease-of-Processing Hypothesis",2011,"Journal of Experimental Psychology: Learning Memory and Cognition","37","5",,"1264","1269",,22,10.1037/a0023719,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052865902&doi=10.1037%2fa0023719&partnerID=40&md5=2f5b1cfecf6e2d3bbf7e2c6b1c13124a",Article,Scopus,2-s2.0-80052865902
"Lockl, K., Schneider, W.","Metacognitive Monitoring and Self-Control Processes for Children's Allocation of Study Time [Metakognitive Überwachungs-und Selbstkontrollprozesse bei der Lernzeiteinteilung von Kindern]",2003,"Zeitschrift fur Padagogische Psychologie","17","3-4",,"173","183",,21,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344552358&partnerID=40&md5=222e9de31ab057f74bffb7295479483d",Article,Scopus,2-s2.0-0344552358
"Shaughnessy, J.J., Zechmeister, E.B.","Memory-monitoring accuracy as influenced by the distribution of retrieval practice",1992,"Bulletin of the Psychonomic Society","30","2",,"125","128",,21,10.3758/BF03330416,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000560924&doi=10.3758%2fBF03330416&partnerID=40&md5=2c2dac53e169e13fda9fbadd2af44b10",Article,Scopus,2-s2.0-0000560924
"Tauber, S.K., Rhodes, M.G.","Multiple bases for young and older adults' judgments of learning in multitrial learning",2012,"Psychology and Aging","27","2",,"474","483",,20,10.1037/a0025246,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864653660&doi=10.1037%2fa0025246&partnerID=40&md5=4da62c605c5005b6c76da4ccbc000f6b",Article,Scopus,2-s2.0-84864653660
"Schmidmaier, R., Ebersbach, R., Schiller, M., Hege, I., Holzer, M., Fischer, M.R.","Using electronic flashcards to promote learning in medical students: Retesting versus restudying",2011,"Medical Education","45","11",,"1101","1110",,20,10.1111/j.1365-2923.2011.04043.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054028705&doi=10.1111%2fj.1365-2923.2011.04043.x&partnerID=40&md5=bd696fea186d79b765db98cb1c87a45a",Article,Scopus,2-s2.0-80054028705
"Ariel, R., Dunlosky, J.","The sensitivity of judgment-of-learning resolution to past test performance, new learning, and forgetting",2011,"Memory and Cognition","39","1",,"171","184",,20,10.3758/s13421-010-0002-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952072444&doi=10.3758%2fs13421-010-0002-y&partnerID=40&md5=dc2077af53ce362767046ac1feac155e",Article,Scopus,2-s2.0-79952072444
"Dail, T.K., Christina, R.W.","Distribution of practice and metacognition in learning and long-term retention of a discrete motor task",2004,"Research Quarterly for Exercise and Sport","75","2",,"148","155",,20,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4143078511&partnerID=40&md5=526c3f34f31b376d0e7e531e0fb11843",Article,Scopus,2-s2.0-4143078511
"Weaver III, C.A., Kelemen, W.L.","Processing Similarity Does Not Improve Metamemory: Evidence against Transfer-Appropriate Monitoring",2003,"Journal of Experimental Psychology: Learning Memory and Cognition","29","6",,"1058","1065",,20,10.1037/0278-7393.29.6.1058,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344543125&doi=10.1037%2f0278-7393.29.6.1058&partnerID=40&md5=c01ea57cb02e482541acd73f59bbef3a",Article,Scopus,2-s2.0-0344543125
"McDonough, I.M., Gallo, D.A.","Illusory expectations can affect retrieval-monitoring accuracy",2012,"Journal of Experimental Psychology: Learning Memory and Cognition","38","2",,"391","404",,19,10.1037/a0025548,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863562258&doi=10.1037%2fa0025548&partnerID=40&md5=6510d2e44b7e53bfda4d236f8446ad9d",Article,Scopus,2-s2.0-84863562258
"Carpenter, S.K., Olson, K.M.","Are pictures good for learning new vocabulary in a foreign language? only if you think they are not",2012,"Journal of Experimental Psychology: Learning Memory and Cognition","38","1",,"92","101",,19,10.1037/a0024828,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855257649&doi=10.1037%2fa0024828&partnerID=40&md5=35c32d6251ed735fdebac9f28f7c5a35",Article,Scopus,2-s2.0-84855257649
"Bacon, E., Izaute, M., Danion, J.-M.","Preserved memory monitoring but impaired memory control during episodic encoding in patients with schizophrenia",2007,"Journal of the International Neuropsychological Society","13","2",,"219","227",,19,10.1017/S1355617707070245,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947660086&doi=10.1017%2fS1355617707070245&partnerID=40&md5=9f25f2aeb2a315414eb3a0b2e7868f76",Article,Scopus,2-s2.0-33947660086
"Dougherty, M.R., Scheck, P., Nelson, T.O., Narens, L.","Using the past to predict the future",2005,"Memory and Cognition","33","6",,"1096","1115",,19,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645046935&partnerID=40&md5=e5b9bcec29d217dc25cfc9aae2ec8ad4",Article,Scopus,2-s2.0-33645046935
"Pinon, K., Allain, P., Kefi, M.Z., Dubas, F., Le Gall, D.","Monitoring processes and metamemory experience in patients with dysexecutive syndrome",2005,"Brain and Cognition","57","2",,"185","188",,19,10.1016/j.bandc.2004.08.042,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-13644259073&doi=10.1016%2fj.bandc.2004.08.042&partnerID=40&md5=e04954cca6986e3d86b16fd2ddd3e849",Article,Scopus,2-s2.0-13644259073
"Maki, R.H.","The Roles of Competition, Target Accessibility, and Cue Familiarity in Metamemory for Word Pairs",1999,"Journal of Experimental Psychology: Learning Memory and Cognition","25","4",,"1011","1023",,19,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033464209&partnerID=40&md5=04f775cf884db06f6cb0fa155207c1ca",Article,Scopus,2-s2.0-0033464209
"Castel, A.D., Rhodes, M.G., Friedman, M.C.","Predicting memory benefits in the production effect: The use and misuse of self-generated distinctive cues when making judgments of learning",2013,"Memory and Cognition","41","1",,"28","35",,18,10.3758/s13421-012-0249-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876103158&doi=10.3758%2fs13421-012-0249-6&partnerID=40&md5=8d78a36cca36583cd23cb5e5aafb8adf",Article,Scopus,2-s2.0-84876103158
"Emanuel Robinson, A., Hertzog, C., Dunlosky, J.","Aging, encoding fluency, and metacognitive monitoring",2006,"Aging, Neuropsychology, and Cognition","13","3-4",,"458","478",,18,10.1080/13825580600572983,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746865275&doi=10.1080%2f13825580600572983&partnerID=40&md5=f073853acbb4566a5e412936e68e729d",Article,Scopus,2-s2.0-33746865275
"Merritt, P., Hirshman, E., Hsu, J., Berrigan, M.","Metamemory without the memory: Are people aware of midazolam-induced amnesia?",2005,"Psychopharmacology","177","3",,"336","343",,18,10.1007/s00213-004-1958-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-12344261684&doi=10.1007%2fs00213-004-1958-8&partnerID=40&md5=7a0c556746d77e41b0511aa3aa02dca6",Article,Scopus,2-s2.0-12344261684
"Miles, J.R., Stine-Morrow, E.A.L.","Adult age differences in self-regulated learning from reading sentences",2004,"Psychology and Aging","19","4",,"626","636",,18,10.1037/0882-7974.19.4.626,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-10044223204&doi=10.1037%2f0882-7974.19.4.626&partnerID=40&md5=64cd93f4adb1ac793f118e9dd518e482",Article,Scopus,2-s2.0-10044223204
"Simon, D.A., Bjork, R.A.","Models of performance in learning multisegment movement tasks: Consequences for acquisition, retention, and judgments of learning",2002,"Journal of Experimental Psychology: Applied","8","4",,"222","232",,18,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036982269&partnerID=40&md5=afefe55531967efb0284c4228b01d6d3",Article,Scopus,2-s2.0-0036982269
"Guttentag, R., Carroll, D.","Memorability judgments for high- and low-frequency words",1998,"Memory and Cognition","26","5",,"951","958",,18,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031725021&partnerID=40&md5=ebde13ac2dc95163ec2aead707fd0369",Article,Scopus,2-s2.0-0031725021
"Koriat, A., Nussinson, R.","Attributing Study Effort to Data-Driven and Goal-Driven Effects: Implications for Metacognitive Judgments",2009,"Journal of Experimental Psychology: Learning Memory and Cognition","35","5",,"1338","1343",,17,10.1037/a0016374,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949204221&doi=10.1037%2fa0016374&partnerID=40&md5=e51ddc8cbc57d628125ac160e926e370",Article,Scopus,2-s2.0-68949204221
"Koriat, A., Ackerman, R., Adiv, S., Lockl, K., Schneider, W.","The effects of goal-driven and data-driven regulation on metacognitive monitoring during learning: A developmental perspective",2014,"Journal of Experimental Psychology: General","143","1",,"386","403",,16,10.1037/a0031768,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893422510&doi=10.1037%2fa0031768&partnerID=40&md5=6d71047405c1fedcb873c4ade522fbd1",Article,Scopus,2-s2.0-84893422510
"Susser, J.A., Mulligan, N.W., Besken, M.","The effects of list composition and perceptual fluency on judgments of learning (JOLs)",2013,"Memory and Cognition","41","7",,"1000","1011",,16,10.3758/s13421-013-0323-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884575148&doi=10.3758%2fs13421-013-0323-8&partnerID=40&md5=9dc8970fbb0882f56d4d5bb4f1ac1661",Article,Scopus,2-s2.0-84884575148
"Tauber, S.K., Rhodes, M.","Does the amount of material to be remembered influence judgements of learning (JOLs)?",2010,"Memory","18","3",,"351","362",,16,10.1080/09658211003662755,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951686237&doi=10.1080%2f09658211003662755&partnerID=40&md5=147645fee8a1279b45545087345af3e7",Article,Scopus,2-s2.0-77951686237
"Jang, Y., Nelson, T.O.","How many dimensions underlie judgments of learning and recall? Evidence from state-trace methodology",2005,"Journal of Experimental Psychology: General","134","3",,"308","326",,16,10.1037/0096-3445.134.3.308,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-24944477281&doi=10.1037%2f0096-3445.134.3.308&partnerID=40&md5=ee0f25a8ed48dec8cf5117bf3d583cd5",Article,Scopus,2-s2.0-24944477281
"Izaute, M., Bacon, E.","Specific effects of an amnesic drug: Effect of lorazepam on study time allocation and on judgment of learning",2005,"Neuropsychopharmacology","30","1",,"196","204",,16,10.1038/sj.npp.1300564,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144308805&doi=10.1038%2fsj.npp.1300564&partnerID=40&md5=09019715d91c0f8dd94e0368ca4d9493",Article,Scopus,2-s2.0-11144308805
"Stein, B.S.","Differences in judgments of learning difficulty",1982,"Journal of Experimental Psychology: General","111","4",,"406","413",,16,10.1037/0096-3445.111.4.406,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020344872&doi=10.1037%2f0096-3445.111.4.406&partnerID=40&md5=90d399110845ad558918e60e28ffa946",Article,Scopus,2-s2.0-0020344872
"Szpunar, K.K., Jing, H.G., Schacter, D.L.","Overcoming overconfidence in learning from video-recorded lectures: Implications of interpolated testing for online education",2014,"Journal of Applied Research in Memory and Cognition","3","3",,"161","164",,15,10.1016/j.jarmac.2014.02.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911808398&doi=10.1016%2fj.jarmac.2014.02.001&partnerID=40&md5=85b41f6dcf9985dba05956abaf5be221",Article,Scopus,2-s2.0-84911808398
"Besken, M., Mulligan, N.W.","Perceptual fluency, auditory generation, and metamemory: Analyzing the perceptual fluency hypothesis in the auditory modality",2014,"Journal of Experimental Psychology: Learning Memory and Cognition","40","2",,"429","440",,15,10.1037/a0034407,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894490371&doi=10.1037%2fa0034407&partnerID=40&md5=8fa90a7fc5cfce3d36e7532098fbc175",Article,Scopus,2-s2.0-84894490371
"Son, L.K., Kornell, N.","Simultaneous decisions at study: Time allocation, ordering, and spacing",2009,"Metacognition and Learning","4","3",,"237","248",,15,10.1007/s11409-009-9049-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896318979&doi=10.1007%2fs11409-009-9049-1&partnerID=40&md5=68a7b7e91fc687ab0acac11fac81af47",Article,Scopus,2-s2.0-84896318979
"Mintzer, M.Z., Griffiths, R.R.","Drugs, memory, and metamemory: A dose-effect study with lorazepam and scopolamine",2005,"Experimental and Clinical Psychopharmacology","13","4",,"336","347",,15,10.1037/1064-1297.13.4.336,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29444455714&doi=10.1037%2f1064-1297.13.4.336&partnerID=40&md5=9f30f6192c1907dd076a09a22df29903",Article,Scopus,2-s2.0-29444455714
"Tullis, J.G., Finley, J.R., Benjamin, A.S.","Metacognition of the testing effect: Guiding learners to predict the benefits of retrieval",2013,"Memory and Cognition","41","3",,"429","442",,14,10.3758/s13421-012-0274-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875036236&doi=10.3758%2fs13421-012-0274-5&partnerID=40&md5=8b25f7ac9a05ab186217c2d24aee130c",Article,Scopus,2-s2.0-84875036236
"McCabe, D.P., Soderstrom, N.C.","Recollection-based prospective metamemory judgments are more accurate than those based on confidence: Judgments of remembering and knowing (JORKs)",2011,"Journal of Experimental Psychology: General","140","4",,"605","621",,14,10.1037/a0024014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82855175437&doi=10.1037%2fa0024014&partnerID=40&md5=f5186b8df9969124326e51f16b71d096",Article,Scopus,2-s2.0-82855175437
"Schnitzspahn, K.M., Zeintl, M., Jäger, T., Kliegel, M.","Metacognition in prospective memory: Are performance predictions accurate?",2011,"Canadian Journal of Experimental Psychology","65","1",,"19","26",,14,10.1037/a0022842,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954540556&doi=10.1037%2fa0022842&partnerID=40&md5=3cb17f5827c2716191ce5a888f97352c",Article,Scopus,2-s2.0-79954540556
"De Bruin, A.B.H., Rikers, R.M.J.P., Schmidt, H.G.","Monitoring accuracy and self-regulation when learning to play a chess endgame",2005,"Applied Cognitive Psychology","19","2",,"167","181",,14,10.1002/acp.1109,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-15444374066&doi=10.1002%2facp.1109&partnerID=40&md5=16629523fc98c36337ffddc67e3f4d07",Article,Scopus,2-s2.0-15444374066
"Metcalfe, J., Finn, B.","Metacognition and control of study choice in children",2013,"Metacognition and Learning","8","1",,"19","46",,13,10.1007/s11409-013-9094-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874791032&doi=10.1007%2fs11409-013-9094-7&partnerID=40&md5=c6e07e47702033d6506c36cf159d9efb",Article,Scopus,2-s2.0-84874791032
"Do Lam, A.T.A., Axmacher, N., Fell, J., Staresina, B.P., Gauggel, S., Wagner, T., Olligs, J., Weis, S.","Monitoring the mind: The neurocognitive correlates of metamemory",2012,"PLoS ONE","7","1", e30009,"","",,13,10.1371/journal.pone.0030009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855396200&doi=10.1371%2fjournal.pone.0030009&partnerID=40&md5=474b309a551b358e0842ea28bd2e8123",Article,Scopus,2-s2.0-84855396200
"Geraci, L., Manzano, I.","Distinctive items are salient during encoding: Delayed judgements of learning predict the isolation effect",2010,"Quarterly Journal of Experimental Psychology","63","1",,"50","64",,13,10.1080/17470210902790161,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649135064&doi=10.1080%2f17470210902790161&partnerID=40&md5=b68b20c4f97443b67826869278c40351",Article,Scopus,2-s2.0-77649135064
"Rast, P., Zimprich, D.","Age differences in the underconfidence-with-practice effect.",2009,"Experimental aging research","35","4",,"400","431",,13,10.1080/03610730903175782,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71249122452&doi=10.1080%2f03610730903175782&partnerID=40&md5=47d555741424018c3f1898f2369f09d7",Article,Scopus,2-s2.0-71249122452
"Sikström, S., Jönsson, F.","A model for stochastic drift in memory strength to account for judgments of learning",2005,"Psychological Review","112","4",,"932","950",,13,10.1037/0033-295X.112.4.932,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27944483811&doi=10.1037%2f0033-295X.112.4.932&partnerID=40&md5=b443c7d350358a17c5cb16e2cca57ebd",Article,Scopus,2-s2.0-27944483811
"Dutton, A., Carroll, M.","Eyewitness testimony: Effects of source of arousal on memory, source-monitoring, and metamemory judgments",2001,"Australian Journal of Psychology","53","2",,"83","91",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035630353&partnerID=40&md5=aa7f1a58fb24518bcdfe7e37139352f9",Article,Scopus,2-s2.0-0035630353
"Undorf, M., Erdfelder, E.","The relatedness effect on judgments of learning: A closer look at the contribution of processing fluency",2014,"Memory and Cognition","43","4",,"647","658",,12,10.3758/s13421-014-0479-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939991473&doi=10.3758%2fs13421-014-0479-x&partnerID=40&md5=2da1ac5c816e901c321044625a7a7168",Article,Scopus,2-s2.0-84939991473
"Finn, B., Metcalfe, J.","Overconfidence in children's multi-trial judgments of learning",2014,"Learning and Instruction","32",,,"1","9",,12,10.1016/j.learninstruc.2014.01.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893005451&doi=10.1016%2fj.learninstruc.2014.01.001&partnerID=40&md5=d24fea088ccdee9a1fb3a6e6c8d09eaf",Article,Scopus,2-s2.0-84893005451
"Taub, M., Azevedo, R., Bouchet, F., Khosravifar, B.","Can the use of cognitive and metacognitive self-regulated learning strategies be predicted by learners' levels of prior knowledge in hypermedia-learning environments?",2014,"Computers in Human Behavior","39",,,"356","367",,12,10.1016/j.chb.2014.07.018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907319433&doi=10.1016%2fj.chb.2014.07.018&partnerID=40&md5=2d5289d8cb6f125d249590db82449e23",Article,Scopus,2-s2.0-84907319433
